country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
World,"18,433.92","18,198.52","18,092.31","18,241.50","19,106.25","19,542.06","19,941.88","20,493.15","21,170.48","21,471.48","21,615.99","21,505.09","21,421.45","21,631.23","21,798.41","22,150.06","22,652.46","23,072.86","23,007.82","23,319.69","23,803.63","23,949.92","24,681.01","25,891.86","27,517.97","28,366.15","28,939.22","29,784.38","30,493.23","30,398.42"
Asia & Oceania,"3,541.47","3,599.40","3,657.11","3,774.42","4,094.74","4,277.98","4,411.17","4,620.17","4,957.30","5,107.43","5,262.88","5,485.04","5,676.26","5,998.03","6,375.42","6,637.79","6,772.08","7,117.77","6,960.28","7,114.33","7,226.09","7,416.29","8,012.31","8,765.61","9,988.20","10,546.09","11,012.64","11,657.88","12,338.41","13,264.09"
North America,"5,475.03","5,356.05","5,116.87","5,060.11","5,332.23","5,329.83","5,308.95","5,493.80","5,745.46","5,854.51","5,814.66","5,774.08","5,893.04","5,992.32","6,094.31","6,151.11","6,360.15","6,473.86","6,538.78","6,608.00","6,819.30","6,696.60","6,754.63","6,838.66","6,959.38","7,014.04","6,949.20","7,073.77","6,885.07","6,410.54"
Europe,"4,680.33","4,507.98","4,423.62","4,398.65","4,452.75","4,553.82","4,594.94","4,643.72","4,583.29","4,640.64","4,545.69","4,454.94","4,319.50","4,301.68","4,242.84","4,309.03","4,449.76","4,460.04","4,447.03","4,392.98","4,457.78","4,505.27","4,489.16","4,631.77","4,673.78","4,676.73","4,716.73","4,699.86","4,628.98","4,310.30"
Eurasia,"3,081.87","3,110.54","3,224.42","3,287.42","3,421.94","3,535.69","3,667.95","3,718.86","3,808.25","3,739.09","3,820.85","3,521.39","3,213.38","2,938.61","2,576.82","2,467.47","2,389.49","2,215.26","2,211.54","2,291.79","2,327.48","2,282.54","2,323.82","2,423.84","2,482.47","2,519.18","2,547.68","2,551.03","2,595.86","2,358.03"
Middle East,490.73,467.89,487.76,530.93,557.17,579.18,621.70,647.27,680.64,712.32,729.88,783.83,814.96,840.96,884.81,901.31,934.72,988.89,"1,019.47","1,056.72","1,093.94","1,119.52","1,177.01","1,242.20","1,332.96","1,449.21","1,501.62","1,555.95","1,658.55","1,714.09"
Central & South America,627.37,620.21,612.19,594.58,621.15,624.63,670.39,687.49,697.46,715.91,716.33,738.43,743.59,783.85,812.03,857.61,903.17,949.12,974.45,982.90,991.80,"1,013.99","1,005.76","1,021.13","1,064.40","1,104.02","1,149.07","1,146.05","1,228.65","1,219.78"
Africa,537.12,536.44,570.34,595.39,626.27,640.93,666.79,681.84,698.09,701.59,725.70,747.39,760.72,775.79,812.17,825.73,843.09,867.92,856.28,872.97,887.25,915.72,918.32,968.63,"1,016.78","1,056.89","1,062.29","1,099.85","1,157.71","1,121.59"
